"","idno","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"1",847,1,"AL",2,1,1,54,0,10,4,8,2,16,2,4,10,10,10,5.65685424949238,4.94974746830583
"2",729,0,"AL",0,0,1,29,0,10,0,0,2,6,0,0,10,10,10,7.07106781186548,7.07106781186548
"3",577,4,"AL",0,0,2,26,0,5,0,5,1,12,0,0,10,7,10,6.36396103067893,7.07106781186548
"4",643,6,"AL",1,0,2,16,0,8,3.66666666666667,4,5,10,0,3,10,10,10,7.07106781186548,2.12132034355964
"5",1173,5,"AL",0,0,1,53,1,8,2.33333333333333,9,1,8,5,7,10,10,10,2.12132034355964,5.65685424949238
"6",495,0,"AL",0,0,1,58,1,10,2.66666666666667,5,1,8,0,0,10,10,10,7.07106781186548,7.07106781186548
"7",584,6,"AL",5,0,2,17,0,4,3,10,5,12,6,7,9,8,10,4.24264068711928,4.24264068711928
"8",1111,10,"AL",3,0,1,28,0,7,2.33333333333333,8,6,12,1,0,10,10,8,6.36396103067893,3.53553390593274
"9",787,0,"AL",1,0,2,24,1,5,5,3,3,15,0,1,10,10,9,7.07106781186548,7.07106781186548
"10",886,0,"AL",0,0,2,20,1,9,0,0,1,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"11",1231,3,"AL",2,1,1,33,0,9,5,10,1,18,0,0,10,10,10,6.36396103067893,7.07106781186548
"12",1044,4,"AL",5,0,2,18,0,6,3.33333333333333,0,7,11,1,3,10,10,10,7.07106781186548,7.07106781186548
"13",927,5,"AL",0,1,1,35,1,10,0.666666666666667,10,1,8,0,6,10,10,10,3.53553390593274,3.53553390593274
"14",125,2,"AL",3,0,1,24,0,7,7.66666666666667,0,6,17,1,3,10,10,10,6.36396103067893,5.65685424949238
"15",1178,2,"AL",4,1,1,27,0,7,5.66666666666667,6,4,12,7,2,10,10,10,4.24264068711928,4.94974746830583
"16",709,5,"AL",0,1,2,18,1,6,4.33333333333333,10,1,6,0,5,10,10,10,7.07106781186548,0
"17",807,6,"AL",8,0,1,70,0,3,2,0,1,8,0,0,10,10,10,7.07106781186548,7.07106781186548
"18",536,2,"AL",0,1,2,35,1,2,3.33333333333333,6,1,12,0,6,10,10,10,7.07106781186548,7.07106781186548
"19",1130,4,"AL",3,1,1,47,0,3,2.33333333333333,5,3,14,2,7,10,10,10,3.53553390593274,3.53553390593274
"20",1185,4,"AL",5,0,1,26,0,6,5,3,4,17,4,4,10,10,10,4.24264068711928,2.12132034355964
"21",809,5,"AL",5,0,1,60,0,4,0,0,2,12,0,4,10,10,10,7.07106781186548,5.65685424949238
"22",920,2,"AL",0,0,2,47,1,5,1.66666666666667,8,1,8,0,4,10,10,10,7.07106781186548,7.07106781186548
"23",644,2,"AL",0,0,2,30,1,10,1.66666666666667,10,1,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"24",534,4,"AL",3,0,1,61,1,7,6.66666666666667,0,3,15,4,7,10,10,10,7.07106781186548,7.07106781186548
"25",453,5,"AL",6,1,1,37,1,5,8.66666666666667,7,4,12,8,8,10,9,9,1.4142135623731,0
"26",441,7,"AL",6,0,2,19,0,10,4,5,3,13,6,0,10,10,7,3.53553390593274,0.707106781186548
"27",1093,3,"AL",2,0,2,74,0,10,3,6,1,7,2,10,10,10,10,1.4142135623731,0.707106781186548
"28",853,3,"AL",1,0,1,68,0,5,3.66666666666667,0,5,11,0,0,10,10,9,4.94974746830583,4.94974746830583
"29",273,0,"AL",2,1,1,43,1,10,0,7,2,12,0,0,10,10,6,7.07106781186548,6.36396103067893
"30",876,6,"AL",6,1,1,58,0,10,0,10,7,8,5,6,10,10,8,3.53553390593274,3.53553390593274
"31",602,7,"AL",5,0,2,40,0,10,4,5,2,12,6,9,10,10,10,4.24264068711928,2.12132034355964
"32",245,5,"AL",3,0,1,20,0,5,2.66666666666667,5,1,15,1,0,10,10,10,5.65685424949238,6.36396103067893
"33",218,0,"AL",3,0,1,67,0,10,3.33333333333333,3,1,7,0,3,10,0,10,5.65685424949238,7.07106781186548
"34",581,5,"AL",0,1,2,30,0,10,5.66666666666667,8,5,8,0,0,10,10,8,7.07106781186548,7.07106781186548
"35",518,4,"AL",6,0,2,16,0,8,5,5,2,11,1,10,10,10,10,6.36396103067893,4.24264068711928
"36",902,7,"AL",3,0,1,34,1,10,2,5,1,5,3,0,10,10,10,4.94974746830583,7.07106781186548
"37",1022,0,"AL",0,0,1,27,1,10,4,0,1,8,7,0,10,10,10,7.07106781186548,0
"38",705,5,"AL",1,1,2,26,0,5,4,10,6,8,0,0,10,10,10,7.07106781186548,7.07106781186548
"39",551,1,"AL",1,0,2,36,0,4,4.33333333333333,5,3,12,2,1,10,9,10,5.65685424949238,4.94974746830583
"40",507,3,"AL",2,0,1,69,0,9,3.66666666666667,1,2,12,1,1,10,9,10,6.36396103067893,5.65685424949238
"41",99,6,"AL",5,1,2,65,0,10,7.66666666666667,10,2,4,10,8,10,8,8,0,0
"42",525,6,"AL",3,0,2,34,0,10,4.66666666666667,5,7,12,5,5,10,10,10,7.07106781186548,0.707106781186548
"43",952,7,"AL",6,0,2,20,0,7,5.33333333333333,5,1,12,6,3,10,10,8,2.82842712474619,0.707106781186548
"44",1203,3,"AL",0,0,1,33,1,10,1.33333333333333,0,1,8,0,0,10,10,10,5.65685424949238,6.36396103067893
"45",1204,5,"AL",5,0,2,39,1,5,5,5,3,16,5,3,5,5,5,0,0
"46",297,5,"AL",1,0,1,55,0,9,1.66666666666667,10,2,10,2,10,10,10,10,3.53553390593274,3.53553390593274
"47",851,5,"AL",0,0,2,75,0,10,2,7,1,0,0,8,10,10,10,2.12132034355964,5.65685424949238
"48",545,3,"AL",2,0,1,76,0,8,3.66666666666667,5,2,8,1,7,10,10,10,6.36396103067893,4.94974746830583
"49",275,7,"AL",10,0,2,17,0,9,6.33333333333333,7,7,11,3,5,10,8,10,3.53553390593274,2.82842712474619
"50",85,7,"AL",7,1,2,62,0,10,4.66666666666667,10,1,0,10,10,10,7,10,0,2.12132034355964
"51",578,3,"AL",0,0,2,41,0,9,4.33333333333333,4,1,8,1,2,10,10,10,6.36396103067893,6.36396103067893
"52",757,0,"AL",0,0,2,41,0,6,3.66666666666667,5,1,8,1,8,5,5,5,0,1.4142135623731
"53",361,0,"AL",0,0,1,63,1,10,0,5,1,16,0,0,10,10,10,7.07106781186548,5.65685424949238
"54",168,0,"AL",0,0,1,27,0,10,1.33333333333333,5,4,12,0,1,10,10,10,7.07106781186548,7.07106781186548
"55",520,0,"AL",0,0,2,22,0,9,3,3,3,8,0,0,10,10,10,7.07106781186548,7.07106781186548
"56",87,0,"AL",0,0,2,63,0,10,6.66666666666667,0,3,12,0,0,10,10,10,7.07106781186548,0.707106781186548
"57",58,6,"AL",5,1,1,18,0,5,6,8,4,11,3,4,10,10,8,2.12132034355964,2.12132034355964
"58",248,4,"AL",5,0,2,17,0,7,5.33333333333333,3,2,11,3,4,10,10,10,3.53553390593274,2.82842712474619
"59",268,2,"AL",0,0,1,51,0,5,3.66666666666667,2,1,8,1,2,10,10,10,7.07106781186548,7.07106781186548
"60",36,5,"AL",3,0,2,55,0,10,3.66666666666667,4,7,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"61",819,8,"AL",6,1,2,41,1,10,5,10,4,12,8,10,10,10,10,3.53553390593274,0
"62",416,3,"AL",5,0,1,51,1,8,0,3,1,8,0,4,10,10,10,7.07106781186548,5.65685424949238
"63",309,0,"AL",5,1,1,53,0,8,5,8,2,12,3,3,10,10,10,4.94974746830583,2.82842712474619
"64",276,0,"AL",2,0,2,60,0,5,0,0,4,8,0,0,10,10,10,7.07106781186548,7.07106781186548
"65",1186,6,"AL",5,1,1,84,0,7,4,8,1,13,3,5,10,10,10,4.94974746830583,4.94974746830583
"66",1221,10,"AL",0,0,1,19,0,5,3.66666666666667,0,9,11,10,5,10,10,10,7.07106781186548,0
"67",632,6,"AL",5,0,2,36,0,9,6,4,2,16,0,3,10,10,10,5.65685424949238,4.94974746830583
"68",676,0,"AL",3,1,1,33,0,5,1,6,4,12,0,0,10,10,10,7.07106781186548,7.07106781186548
"69",501,2,"AL",2,0,2,38,0,9,4.33333333333333,1,2,12,1,5,10,9,10,5.65685424949238,4.94974746830583
"70",1084,6,"AL",5,0,2,53,0,10,1.33333333333333,5,1,8,5,6,10,10,9,7.07106781186548,3.53553390593274
"71",1024,2,"AL",2,0,2,48,1,5,3.33333333333333,0,1,12,5,3,10,10,10,4.94974746830583,4.94974746830583
"72",388,0,"AL",2,0,1,20,1,10,6.66666666666667,10,1,6,10,10,0,10,10,7.07106781186548,0
"73",767,0,"AL",0,0,1,31,0,10,2.33333333333333,5,3,12,5,0,10,10,10,7.07106781186548,7.07106781186548
"74",395,9,"AL",9,1,1,16,0,9,6,9,4,11,6,7,10,10,10,2.12132034355964,1.4142135623731
"75",539,4,"AL",2,0,2,27,0,10,5,6,1,17,3,2,10,10,9,4.94974746830583,4.94974746830583
"76",1152,7,"AL",5,0,2,39,0,8,3.33333333333333,7,3,8,2,3,10,10,10,4.24264068711928,3.53553390593274
"77",355,5,"AL",0,1,2,18,0,7,3.33333333333333,10,6,12,2,7,10,10,10,4.94974746830583,7.07106781186548
"78",1192,4,"AL",3,0,1,15,0,5,3.33333333333333,10,7,8,10,0,10,10,10,7.07106781186548,3.53553390593274
"79",1072,4,"AL",3,0,1,63,1,3,2,0,1,12,0,4,10,10,10,4.94974746830583,7.07106781186548
"80",224,8,"AL",5,0,1,62,0,8,7.33333333333333,0,6,11,2,1,10,10,10,2.82842712474619,2.82842712474619
"81",993,7,"AL",5,0,1,71,0,6,6.66666666666667,0,2,12,4,5,10,10,10,3.53553390593274,3.53553390593274
"82",861,2,"AL",0,0,2,31,0,10,3.33333333333333,5,5,12,0,0,10,10,10,5.65685424949238,1.4142135623731
"83",1228,3,"AL",2,0,1,18,0,5,4.33333333333333,5,4,10,2,7,10,10,10,5.65685424949238,2.12132034355964
"84",371,5,"AL",4,0,1,64,0,10,5.66666666666667,5,2,8,3,5,10,10,10,6.36396103067893,4.94974746830583
"85",1233,0,"AL",0,0,2,55,0,4,2,5,4,14,0,3,10,10,10,6.36396103067893,5.65685424949238
"86",500,10,"AL",10,1,1,75,0,10,7,10,5,16,0,10,5,10,10,0,1.4142135623731
"87",947,0,"AL",0,1,1,74,0,10,4.33333333333333,10,2,4,3,7,10,10,10,3.53553390593274,4.94974746830583
"88",1089,1,"AL",3,0,1,57,0,2,1.66666666666667,0,3,16,1,2,10,10,10,5.65685424949238,4.94974746830583
"89",856,2,"AL",5,0,2,19,1,10,5,10,3,9,2,7,10,10,10,6.36396103067893,2.82842712474619
"90",3,2,"AL",0,1,2,66,0,3,4.66666666666667,5,2,12,4,0,10,10,10,4.94974746830583,4.94974746830583
